contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL241122C00100000,2024-11-20 17:13:57+00:00,100.0,127.3,127.8,129.35,0.0,0.0,2.0,10,5.92187759765625,True,REGULAR,USD
AAPL241122C00125000,2024-11-15 17:46:23+00:00,125.0,99.89,102.7,104.45,0.0,0.0,,2,4.421879472656249,True,REGULAR,USD
AAPL241122C00130000,2024-11-18 17:59:33+00:00,130.0,99.15,97.8,99.35,0.0,0.0,3.0,4,4.1562548046875,True,REGULAR,USD
AAPL241122C00135000,2024-11-08 20:24:06+00:00,135.0,92.99,92.75,94.4,0.0,0.0,3.0,4,3.8906252734375,True,REGULAR,USD
AAPL241122C00140000,2024-11-15 15:50:11+00:00,140.0,84.82,87.8,89.35,0.0,0.0,8.0,8,3.6406258984375004,True,REGULAR,USD
AAPL241122C00145000,2024-11-20 19:53:21+00:00,145.0,82.52,82.75,84.4,0.0,0.0,5.0,8,3.406251484375,True,REGULAR,USD
AAPL241122C00150000,2024-11-20 20:39:37+00:00,150.0,78.77,77.8,79.35,0.0,0.0,20.0,19,3.1718770703125,True,REGULAR,USD
AAPL241122C00155000,2024-11-13 20:50:00+00:00,155.0,70.85,72.75,74.4,0.0,0.0,,1,2.94531513671875,True,REGULAR,USD
AAPL241122C00160000,2024-11-21 16:54:55+00:00,160.0,68.84,67.8,69.35,1.2999954,1.9247785,1.0,3,2.72656568359375,True,REGULAR,USD
AAPL241122C00165000,2024-11-19 19:21:22+00:00,165.0,64.75,62.75,64.4,0.0,0.0,1.0,16,2.5156287109374995,True,REGULAR,USD
AAPL241122C00170000,2024-11-21 18:47:06+00:00,170.0,59.67,58.0,59.2,0.9399986,1.6005425,23.0,91,2.4140664648437498,True,REGULAR,USD
AAPL241122C00175000,2024-11-20 16:10:39+00:00,175.0,51.64,52.75,54.45,0.0,0.0,2.0,24,2.2031294921874993,True,REGULAR,USD
AAPL241122C00180000,2024-11-21 18:19:55+00:00,180.0,49.96,47.8,49.4,3.2199974,6.8891687,3.0,56,1.9921875390625,True,REGULAR,USD
AAPL241122C00185000,2024-11-21 20:48:44+00:00,185.0,43.9,43.2,44.15,2.050003,4.898454,63.0,126,1.96484392578125,True,REGULAR,USD
